ID,TMEM132A,CD6,CYBA,DGAT2,CHI3L2,PKM,SEMA3C,JAK3,CCL2,CD5,MYO1G,FKBP10,UCHL1,SLFN13,MS4A1,PTGER1,HACD1,RHOH,KRT19,SPHK1,FZD2,SOCS3,MROH2A,PDIA2,VEPH1,CARD11,UGT1A3,BATF3,NLR
TCGA-2V-A95S,0.005194704,0.209186661,0.071299032,0.062305539,0.054334187,0.023007617,0.026424638,0.241798529,0.018987179,0.11401601,0.232426274,0.007586778,0.000817436,0.029632206,0.016467499,0.003195371,0.004653873,0.086120719,0.000973144,0.428906306,0.015264805,0.047758486,0.006629034,0.000753131,0.00652513,0.170573241,0.00314558,0.324620279,0.021750703
TCGA-2Y-A9GS,0.00996536,0.042040737,0.026805688,0.140129319,0.008831608,0.02646002,0.022037273,0.044451385,0.015548127,0.030909386,0.040621557,0.021726508,0.00071014,0.013307389,0.000432954,0.00482904,0.039271966,0.011300709,0.006357187,0.007954441,0.021743712,0.015689857,0.022173157,0.021855284,0.005845839,0.0250355,0.029051169,0.037264069,0.165953356
TCGA-2Y-A9GT,0.005002232,0.108114359,0.028881262,0.161527166,0.013843706,0.008336801,0.009241533,0.140053092,0.010024605,0.063942766,0.156999047,0.013846066,0.00082761,0.022505374,0.013992309,0.001867565,0.015655885,0.036838841,0.002806406,0.003057654,0.006827491,0.018760867,0.000449486,0,0.000338889,0.084395776,0.074217507,0.068548622,0.025921911
TCGA-2Y-A9GU,0.002128361,0.009555086,0.002588649,0.27910869,0.00177507,0.012851683,0.001232007,0.012823582,0.001714923,0.007430066,0.01444073,0.004538399,0.006134945,0.004949146,0.001232966,0.088966614,0.004124861,0.008768468,0.004400412,0.001766839,0.002148544,0.004381942,0.000292341,0.003203423,0.000146751,0.008355373,0.034508513,0.017080173,0.324106257
TCGA-2Y-A9GV,0.003277605,0.04141248,0.028682784,0.215130539,0.002267762,0.006334015,0.053841972,0.093956902,0.033357843,0.032924833,0.06049717,0.01482864,0.005416937,0.00800574,0.002964237,0.002065476,0.009028942,0.01727219,0.000382253,0.003721921,0.008597346,0.137019746,0.306320891,0.001169299,0.001875994,0.048748608,0.029161818,0.042317317,0.141284359
TCGA-2Y-A9GW,0.00649376,0.058188421,0.036351423,0.051158542,0.00877405,0.024242181,0.02570966,0.073044625,0.016031035,0.048415708,0.074855723,0.024678846,0.001194641,0.007498136,0.008472283,0.017444999,0.006880726,0.023106396,0.002673184,0.011183576,0.021290553,0.035414304,0.008657864,0.000274134,0.002243628,0.052533978,0.002384871,0.062544858,0.037767828
TCGA-2Y-A9GX,0.030189613,0.125449663,0.04725949,0.076350642,0.00970648,0.02526164,0.19939611,0.156327642,0.054247193,0.125467191,0.113370562,0.064562876,0.003892936,0.024853829,0.012183161,0.057887313,0.016981989,0.063058447,0.006544138,0.020131973,0.021724698,0.144809436,0.017509745,0.000379116,0.006131776,0.115094022,0.017942846,0.086099203,0.047753718
TCGA-2Y-A9GY,0.022561336,0.115026828,0.236279845,0.009282763,0.041915602,0.093234162,0.002378336,0.16883892,0.031546592,0.060227733,0.202745457,0.514325694,0.433384976,0.127957111,0.004607284,0.005555915,0.001519121,0.068194019,0.007495855,0.098662874,0.020102198,0.071075453,0.000919163,0.002881496,0.000503795,0.045204368,0.005925624,0.053485868,0.003647312
TCGA-2Y-A9GZ,0.003117635,0.009136794,0.00413499,0.266232421,0.006579962,0.004952402,0.001994257,0.013047401,0.004500277,0.003917458,0.015221411,0.005238391,0.000342234,0.002597557,0.000739017,0.019488885,0.003274153,0.005491017,0.000326259,0.000878355,0.004686869,0.05270182,0.035804333,0.001130904,0,0.015246738,0.075274596,0.009005645,0.264550263
TCGA-2Y-A9H0,0.006244918,0.047877131,0.016627863,0.081693366,0.005348234,0.031002723,0.002647191,0.034766465,0.008592452,0.029943223,0.059406458,0.020593871,0.002777376,0.162417828,0.001622897,0.027844348,0.001522696,0.018674361,4.54E-05,0.008929887,0.00112656,0.028773931,0.000418759,0.299466177,0.001010616,0.026099537,0,0.016469128,0.094339053
